                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                  1.482,                  1.149,                 1.1771,                 0.5032,                0.39517,                0.40317,                0.23846,                 1.3917,                 1.0748,                 1.1456,               0.007129,               0.007129,               0.007129
                     90,                  1.484,                 1.1577,                 1.1776,                0.51424,                0.39047,                0.40389,                0.23959,                 1.3902,                 1.0724,                 1.1449,               0.007096,               0.007096,               0.007096
                     91,                  1.471,                 1.1415,                 1.1735,                0.51049,                0.39031,                 0.4053,                0.23985,                 1.3914,                 1.0733,                 1.1449,               0.007063,               0.007063,               0.007063
                     92,                 1.4749,                  1.146,                  1.177,                0.51522,                0.39048,                0.40625,                0.24066,                 1.3894,                 1.0712,                 1.1445,                0.00703,                0.00703,                0.00703
                     93,                 1.4679,                 1.1399,                 1.1726,                0.51249,                0.39075,                0.40726,                0.24082,                 1.3889,                 1.0702,                 1.1441,               0.006997,               0.006997,               0.006997
                     94,                 1.4695,                 1.1401,                 1.1739,                0.50949,                0.39075,                0.40699,                0.24119,                 1.3869,                 1.0688,                 1.1426,               0.006964,               0.006964,               0.006964
                     95,                  1.469,                 1.1394,                 1.1713,                0.51423,                 0.3908,                0.40826,                0.24212,                 1.3869,                 1.0668,                 1.1422,               0.006931,               0.006931,               0.006931
                     96,                 1.4771,                 1.1393,                 1.1702,                0.51098,                0.39339,                0.40811,                0.24177,                 1.3866,                  1.067,                 1.1422,               0.006898,               0.006898,               0.006898
                     97,                  1.466,                 1.1342,                 1.1716,                0.51691,                0.39219,                0.40848,                0.24209,                 1.3863,                 1.0663,                 1.1423,               0.006865,               0.006865,               0.006865
                     98,                  1.468,                 1.1321,                 1.1731,                0.50945,                 0.3955,                0.40824,                0.24189,                 1.3852,                 1.0642,                 1.1417,               0.006832,               0.006832,               0.006832
                     99,                  1.459,                 1.1249,                 1.1686,                0.51674,                0.39349,                0.40902,                0.24226,                 1.3845,                 1.0645,                  1.141,               0.006799,               0.006799,               0.006799
                    100,                 1.4646,                 1.1289,                 1.1754,                0.51378,                0.39754,                0.40979,                0.24275,                 1.3845,                  1.064,                 1.1405,               0.006766,               0.006766,               0.006766
                    101,                 1.4542,                 1.1227,                 1.1679,                0.51223,                0.39851,                0.40978,                0.24364,                 1.3845,                 1.0636,                 1.1404,               0.006733,               0.006733,               0.006733
                    102,                 1.4642,                 1.1305,                  1.172,                0.51474,                0.39913,                0.41004,                0.24443,                 1.3833,                 1.0633,                 1.1396,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.4541,                 1.1253,                 1.1673,                0.50947,                0.40064,                0.41057,                0.24412,                 1.3822,                 1.0626,                 1.1389,               0.006667,               0.006667,               0.006667
                    104,                 1.4654,                 1.1239,                 1.1629,                0.51397,                0.39774,                0.41034,                0.24442,                 1.3821,                 1.0616,                 1.1389,               0.006634,               0.006634,               0.006634
                    105,                 1.4599,                 1.1197,                  1.167,                 0.5147,                0.39805,                0.41128,                0.24499,                 1.3805,                 1.0598,                 1.1379,               0.006601,               0.006601,               0.006601
                    106,                 1.4566,                 1.1225,                 1.1669,                0.51685,                 0.3966,                0.41124,                0.24504,                 1.3796,                 1.0592,                 1.1371,               0.006568,               0.006568,               0.006568
                    107,                  1.452,                 1.1129,                 1.1644,                0.51684,                0.39664,                0.41194,                0.24493,                 1.3797,                 1.0585,                 1.1372,               0.006535,               0.006535,               0.006535
                    108,                  1.463,                 1.1253,                 1.1676,                0.51732,                0.39558,                0.41333,                0.24552,                 1.3795,                  1.057,                 1.1371,               0.006502,               0.006502,               0.006502
